code;bahnhof_haltestelle;bezugsjahr;kanton;eigner;dtv;dwv;dnwv;bemerkungen;remarques;note;remarks;geopos;lod
MAG;Magadino-Vira;2018;TI;FFS;50;60;50.0;;;;;46.1453223595, 8.85017913795;http://lod.opentransportdata.swiss/didok/8505406
MAR;Maroggia-Melano;2018;TI;FFS;700;820;440.0;;;;;45.9324428303, 8.97393689235;http://lod.opentransportdata.swiss/didok/8505303
MO;Mosen;2018;LU;SBB;170;170;170.0;;;;;47.2442873199, 8.22414905535;http://lod.opentransportdata.swiss/didok/8502029
MOER;Mörschwil;2018;SG;SBB;320;350;250.0;;;;;47.4747707737, 9.41437284119;http://lod.opentransportdata.swiss/didok/8506304
MRT;Murten/Morat;2018;FR;SBB;1900;2000;1600.0;Ohne TPF.;Sans TPF.;Senza TPF.;Without TPF.;46.9253915414, 7.11537589102;http://lod.opentransportdata.swiss/didok/8504128
MUEH;Mühlau;2018;AG;SBB;200;230;130.0;;;;;47.225014385, 8.3885103326;http://lod.opentransportdata.swiss/didok/8502217
MUEL;Müllheim-Wigoltingen;2018;TG;SBB;;;;Angabe 2018 steht nicht zur Verfügung.;Chiffre non disponible pour l’année 2018.;Il dato del 2018 non è disponibile.;Value for 2018 not available.;47.5881673349, 9.01550138775;http://lod.opentransportdata.swiss/didok/8506103
NAEN;Nänikon-Greifensee;2018;ZH;SBB;4700;5600;2700.0;;;;;47.3693584945, 8.68639971514;http://lod.opentransportdata.swiss/didok/8503126
NEY;Neyruz;2018;FR;CFF;490;640;180.0;;;;;46.7660458572, 7.06503067751;http://lod.opentransportdata.swiss/didok/8504027
NK;Neukirch-Egnach;2018;TG;SOB;270;300;200.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.5387945817, 9.37583489866;http://lod.opentransportdata.swiss/didok/8506398
NW;Niederweningen;2018;ZH;SBB;1100;1300;720.0;;;;;47.5111974542, 8.36960718376;http://lod.opentransportdata.swiss/didok/8503319
NWAL;Niederwald;2018;VS;MGB;170;170;150.0;;;;;46.4353351151, 8.19021556423;http://lod.opentransportdata.swiss/didok/8501670
OA;Oberaach;2018;TG;SBB;140;160;120.0;;;;;47.5532223119, 9.2709268739;http://lod.opentransportdata.swiss/didok/8506108
OBK;Oberkirch;2018;LU;SBB;520;570;390.0;;;;;47.1552315719, 8.11422262548;http://lod.opentransportdata.swiss/didok/8502011
OP;Opfikon;2018;ZH;SBB;2300;2800;1400.0;;;;;47.4299514492, 8.56176987445;http://lod.opentransportdata.swiss/didok/8503340
PFU;Pfungen;2018;ZH;SBB;1400;1700;810.0;;;;;47.5160332387, 8.64661156441;http://lod.opentransportdata.swiss/didok/8506042
PFZ;Pfäffikon ZH;2018;ZH;SBB;5400;6400;3300.0;;;;;47.3670842127, 8.78477640275;http://lod.opentransportdata.swiss/didok/8503301
POS;Poschiavo;2018;GR;RhB;650;710;530.0;;;;;46.3248027549, 10.0543340143;http://lod.opentransportdata.swiss/didok/8509361
PRED;Preda;2018;GR;RhB;490;420;630.0;;;;;46.5881560142, 9.77731860406;http://lod.opentransportdata.swiss/didok/8509198
PTMS;Punt Muragl Staz;2018;GR;RhB;50;50;50.0;;;;;46.5073477886, 9.88041164731;http://lod.opentransportdata.swiss/didok/8509351
RAR;Raron;2018;VS;SBB;640;720;450.0;;;;;46.3062732767, 7.80150766492;http://lod.opentransportdata.swiss/didok/8501604
RASU;Rabius-Surrein;2018;GR;RhB;150;170;110.0;;;;;46.732576252, 8.95749683642;http://lod.opentransportdata.swiss/didok/8509177
REB;Rebstein-Marbach;2018;SG;SBB;290;330;210.0;;;;;47.3926373927, 9.58675061708;http://lod.opentransportdata.swiss/didok/8506318
REK;Rekingen AG;2018;AG;SBB;170;200;100.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.569967429, 8.32711190205;http://lod.opentransportdata.swiss/didok/8503408
REUT;Reutlingen;2018;ZH;SBB;250;280;180.0;;;;;47.5296543857, 8.75213281727;http://lod.opentransportdata.swiss/didok/8506036
RIAZ;Riazzino;2018;TI;FFS;650;670;610.0;;;;;46.1755125216, 8.88532079686;http://lod.opentransportdata.swiss/didok/8505412
RID;Riddes;2018;VS;CFF;570;690;300.0;;;;;46.1725010631, 7.2178509961;http://lod.opentransportdata.swiss/didok/8501503
RN;Rikon;2018;ZH;SBB;800;910;550.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.4450032571, 8.79630774826;http://lod.opentransportdata.swiss/didok/8506005
